Title,Country,Release Year,Main Character Name,Main Character Gender,Main Character Role
Jannie totsiens,South Africa,1970,Cobus Rossouw,Male,professor
Hoor My Lied,South Africa,1967,Gé Korsten,Male,doctor
Mirage Eskader,South Africa,1975,Barry Trengove,Male,commandant
Staal Burger,South Africa,1969,Daan Retief,Male,agent
Lokval in Venesië,South Africa,1972,Gé Korsten,Male,ambassador
Dingetjie & Idi,South Africa,1977,Dawie Malan,Male,doctor
Die Eensame Vlug,South Africa,1978,Hans Strydom,Male,doctor
South West Africa: The Timeless Land,South Africa,1961,Gideon Roos,Male,narrator
Vision of Gold,South Africa,1968,Joe Stewardson,Male,narrator
Soweto Green: This Is a 'Tree' Story,South Africa,1995,John Kani,Male,doctor
Danie Theron,South Africa,1983,Hans Strydom,Male,leader
Hedda Gabler,South Africa,1983,Sandra Prinsloo,Female,academic
Silwerdoekstories,South Africa,1994,Hans Strydom,Male,narrator
Red Dust,South Africa,2004,Jamie Bartlett,Male,officer
Finale,South Africa,2007,Lieb Bester,Male,professor
'N Eeu Vlieg Verby,South Africa,2003,Sandra Prinsloo,Female,narrator
Wolwedans in die Skemer,South Africa,2012,Rolanda Marais,Female,receptionist
Die Wonderwerker,South Africa,2012,Dawid Minnaar,Male,researcher
The Pro,South Africa,2015,Edwin van der Walt,Male,surfer
Agent 2000: Die Laksman,South Africa,2014,Paul Loots,Male,agent
Babalas,South Africa,2013,Ian Roberts,Male,executive
The Wound,South Africa,2017,Nakhane Touré,Male,factory worker
Tess,South Africa,2016,Christia Visser,Female,worker
Dominee Tienie,South Africa,2018,Frank Opperman,Male,career
Sy klink soos lente,South Africa,2016,Stiaan Smith,Male,mechanic
Vlugtig,South Africa,2021,Arno Greeff,Male,actor
Verstikking,South Africa,2022,Irshaad Ally,Male,employee
Draadloos,South Africa,2019,Sandi Schultz,Female,pastor
Three Giant Men,Turkey,1973,Aytekin Akkaya,Male,wrestler
Tarkan and the Blood of the Vikings,Turkey,1971,Kartal Tibet,Male,leader
Tarkan,Turkey,1969,Kartal Tibet,Male,warrior
Çirilçiplak,Turkey,1977,Arzu Okay,Female,singer
Yusuf ile Kenan,Turkey,1979,Cem Davran,Male,shepherd
"Nebahat, the Driver",Turkey,1960,Sezer Sezin,Female,driver
Sütü bozuk,Turkey,1976,Arzu Okay,Female,singer
Vurun kahpeye,Turkey,1973,Hale Soygazi,Female,teacher
Yatik Emine,Turkey,1975,Serdar Gökhan,Male,server
Stranger in the City,Turkey,1963,Göksel Arsoy,Male,engineer
Harem Suare,Turkey,1999,Marie Gillain,Female,guard
Arzu,Turkey,1985,Banu Alkan,Female,model
Cholera Street,Turkey,1997,Okan Bayülgen,Male,mechanic
Günesin tutuldugu gün,Turkey,1983,Müjde Ar,Female,cashier
Aaahh Belinda,Turkey,1986,Müjde Ar,Female,actress
Don't Let Them Shoot the Kite,Turkey,1989,Ozan Bilen,Male,tender
Iffet,Turkey,1982,Müjde Ar,Female,driver
The Secret Face,Turkey,1991,Zuhal Olcay,Female,photographer
A Season in Hakkari,Turkey,1983,Genco Erkal,Male,teacher
Kurulus,Turkey,1986,Cihan Ünal,Male,founder
Alamancinin karisi,Turkey,1987,Korhan Abay,Male,worker
Kuyucakli Yusuf,Turkey,1985,Ahmet Mekin,Male,governor
"Rosa, I Love You",Turkey,1992,Ayla Algan,Female,teller
Hunting Time,Turkey,1988,Aytaç Arman,Male,writer
Itirazim var,Turkey,1982,Müslüm Gürses,Male,singer
Distant,Turkey,2002,Muzaffer Özdemir,Male,worker
Climates,Turkey,2006,Ebru Ceylan,Female,instructor
Bliss,Turkey,2007,Talat Bulut,Male,professor
Takva: A Man's Fear of God,Turkey,2006,Erkan Can,Male,prayer
Fate,Turkey,2001,Serdar Orçin,Male,bookkeeper
Pains of Autumn,Turkey,2009,Murat Yildirim,Male,activist
Alone,Turkey,2008,Melis Birkan,Female,restaurant
Lovelorn,Turkey,2005,Meltem Cumbul,Female,driver
The Market: A Tale of Trade,Turkey,2008,Tayanç Ayaydin,Male,trader
The Class of Chaos Goes Abroad,Turkey,2004,Halit Akçatepe,Male,consultant
Angel's Fall,Turkey,2004,Tülin Özen,Female,housekeeper
House of Angels,Turkey,2000,Talat Bulut,Male,war correspondent
Yunus Emre,Turkey,2005,Mehmet Atay,Male,narrator
Once Upon a Time in Anatolia,Turkey,2011,Muhammet Uzuner,Male,doctor
Gise Memuru,Turkey,2010,Serkan Ercan,Male,clerk
Musallat 2: Lanet,Turkey,2011,Türkü Turan,Female,teacher
Last Stop: Kurtulus,Turkey,2012,Belçim Bilgin,Female,psychologist
Oglum bak git,Turkey,2012,Yavuz Seçkin,Male,driver
The Miracle,Turkey,2015,Talat Bulut,Male,school teacher
A Small September Affair,Turkey,2014,Engin Akyürek,Male,newspaper
Karaoglan,Turkey,2013,Volkan Keskin,Male,scout
Jîn,Turkey,2013,Deniz Hasgüler,Female,driver
Motherland,Turkey,2015,Esra Bezen Bilgin,Female,writer
Neden Tarkovski Olamiyorum...,Turkey,2014,Tansu Biçer,Female,director
Muslum,Turkey,2018,Timuçin Esen,Male,artist
Ikinci Sans,Turkey,2016,Özcan Deniz,Male,restaurant
Rüzgar,Turkey,2018,Belçim Bilgin,Female,assistant
Doru,Turkey,2017,Dilek Gürel,Male,leader
Bergen,Turkey,2022,Farah Zeynep Abdullah,Female,singer
Love Me Instead,Turkey,2021,Sarp Akkaya,Male,guard
James Potter and the Heir of the Sword,Turkey,2020,Denizhan Akbaba,Male,potter
La Belle Indifference,Turkey,2019,Alican Yücesoy,Male,manager
Feride,Turkey,2020,Zeynep Çamci,Female,designer
Aries,Turkey,2019,Leyla Feray,Female,singer
Death on the Nile,United Kingdom,1978,Peter Ustinov,Male,heiress
A Clockwork Orange,United Kingdom,1971,Malcolm McDowell,Male,leader
The Rocky Horror Picture Show,United Kingdom,1975,Tim Curry,Male,doctor
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,United Kingdom,1964,Peter Sellers,Male,doctor
Lawrence of Arabia,United Kingdom,1962,Peter O'Toole,Male,officer
Cleopatra,United Kingdom,1963,Elizabeth Taylor,Female,queen
Live and Let Die,United Kingdom,1973,Roger Moore,Male,reader
From Russia with Love,United Kingdom,1963,Sean Connery,Male,agent
Life of Brian,United Kingdom,1979,Graham Chapman,Male,king
The Spy Who Loved Me,United Kingdom,1977,Roger Moore,Male,agent
Casino Royale,United Kingdom,1967,Peter Sellers,Male,agent
The Devils,United Kingdom,1971,Vanessa Redgrave,Female,canon
Zardoz,United Kingdom,1974,Sean Connery,Male,assistant
The Lion in Winter,United Kingdom,1968,Peter O'Toole,Male,king
The Innocents,United Kingdom,1961,Deborah Kerr,Female,governess
Fahrenheit 451,United Kingdom,1966,Julie Christie,Female,collector
Aces High,United Kingdom,1976,Malcolm McDowell,Male,senior
Jubilee,United Kingdom,1978,Jenny Runacre,Female,queen
The Spy Who Came in from the Cold,United Kingdom,1965,Richard Burton,Male,agent
Age of Consent,United Kingdom,1969,James Mason,Male,artist
The Vampire Lovers,United Kingdom,1970,Ingrid Pitt,Female,governess
Sleuth,United Kingdom,1972,Laurence Olivier,Male,manor
The Prime of Miss Jean Brodie,United Kingdom,1969,Maggie Smith,Female,teacher
After the Fox,United Kingdom,1966,Peter Sellers,Male,master
Virgin Witch,United Kingdom,1972,Ann Michelle,Female,agent
Performance,United Kingdom,1970,James Fox,Male,musician
Far from the Madding Crowd,United Kingdom,1967,Julie Christie,Female,farmer
Murder Ahoy,United Kingdom,1964,Margaret Rutherford,Female,merchant
The Angry Silence,United Kingdom,1960,Richard Attenborough,Male,worker
The Legend of Hell House,United Kingdom,1973,Pamela Franklin,Female,tanner
The Cassandra Crossing,United Kingdom,1976,Sophia Loren,Female,chamberlain
Marquis de Sade's Justine,United Kingdom,1977,Koo Stark,Female,brothel owner
She,United Kingdom,1965,Ursula Andress,Female,queen
The Tamarind Seed,United Kingdom,1974,Julie Andrews,Female,assistant
Isadora,United Kingdom,1968,Vanessa Redgrave,Female,dancer
The Romantic Englishwoman,United Kingdom,1975,Glenda Jackson,Female,writer
Sunburn,United Kingdom,1979,Farrah Fawcett,Female,investigator
Kama Sutra: A Tale of Love,United Kingdom,1996,Indira Varma,Female,servant
Aliens,United Kingdom,1986,Sigourney Weaver,Female,officer
Trainspotting,United Kingdom,1996,Ewan McGregor,Male,dealer
Labyrinth,United Kingdom,1986,David Bowie,Male,king
Evil Under the Sun,United Kingdom,1982,Peter Ustinov,Male,detective
Notting Hill,United Kingdom,1999,Julia Roberts,Female,actress
A View to a Kill,United Kingdom,1985,Roger Moore,Male,industrialist
Thelma & Louise,United Kingdom,1991,Susan Sarandon,Female,salesman
The Lover,United Kingdom,1992,Jeanne Moreau,Female,narrator
Naked,United Kingdom,1993,David Thewlis,Male,brewer
Octopussy,United Kingdom,1983,Roger Moore,Male,seller
For Your Eyes Only,United Kingdom,1981,Roger Moore,Male,minister
The Elephant Man,United Kingdom,1980,Anthony Hopkins,Male,doctor
Earth Girls Are Easy,United Kingdom,1988,Geena Davis,Female,doctor
Tank Girl,United Kingdom,1995,Lori Petty,Female,mechanic
Out of Africa,United Kingdom,1985,Meryl Streep,Female,author
The Secret Garden,United Kingdom,1993,Kate Maberly,Female,manor
Sophie's Choice,United Kingdom,1982,Meryl Streep,Female,professor
A Fish Called Wanda,United Kingdom,1988,John Cleese,Male,career
The Witches,United Kingdom,1990,Anjelica Huston,Female,leader
The Full Monty,United Kingdom,1997,Robert Carlyle,Male,security guard
Damage,United Kingdom,1992,Jeremy Irons,Male,doctor
Maurice,United Kingdom,1987,James Wilby,Male,teacher
Sliding Doors,United Kingdom,1998,Gwyneth Paltrow,Female,public relations
Entrapment,United Kingdom,1999,Sean Connery,Male,career
Velvet Goldmine,United Kingdom,1998,Ewan McGregor,Male,career
Shallow Grave,United Kingdom,1994,Kerry Fox,Female,miller
First Knight,United Kingdom,1995,Sean Connery,Male,king
Rock-A-Doodle,United Kingdom,1991,Phil Harris,Male,narrator
Saturn 3,United Kingdom,1980,Farrah Fawcett,Female,monitor
Valmont,United Kingdom,1989,Colin Firth,Male,king
Immortal Beloved,United Kingdom,1994,Gary Oldman,Male,assistant
Sahara,United Kingdom,1983,Brooke Shields,Female,heiress
Shirley Valentine,United Kingdom,1989,Pauline Collins,Female,servant
"Rita, Sue and Bob Too",United Kingdom,1987,Michelle Holmes,Female,teacher
Bloodbath at the House of Death,United Kingdom,1984,Kenny Everett,Male,doctor
Mrs. Brown,United Kingdom,1997,Judi Dench,Female,queen
The French Lieutenant's Woman,United Kingdom,1981,Meryl Streep,Female,prostitute
Nuns on the Run,United Kingdom,1990,Eric Idle,Male,attendant
Cal,United Kingdom,1984,Helen Mirren,Female,librarian
The Dark Knight,United Kingdom,2008,Christian Bale,Male,vigilante
Casino Royale,United Kingdom,2006,Daniel Craig,Male,agent
Batman Begins,United Kingdom,2005,Christian Bale,Male,manor
Harry Potter and the Chamber of Secrets,United Kingdom,2002,Daniel Radcliffe,Male,potter
Harry Potter and the Prisoner of Azkaban,United Kingdom,2004,Daniel Radcliffe,Male,potter
Snatch,United Kingdom,2000,Ade,Male,driver
Harry Potter and the Order of the Phoenix,United Kingdom,2007,Daniel Radcliffe,Male,potter
Mamma Mia!,United Kingdom,2008,Amanda Seyfried,Female,bachelor
Thirteen,United Kingdom,2003,Nikki Reed,Female,grade
Harry Potter and the Half-Blood Prince,United Kingdom,2009,Daniel Radcliffe,Male,potter
The Princess Diaries,United Kingdom,2001,Julie Andrews,Female,queen
Hannibal,United Kingdom,2001,Anthony Hopkins,Male,doctor
Cashback,United Kingdom,2006,Michelle Ryan,Female,extra
Across the Universe,United Kingdom,2007,Evan Rachel Wood,Female,activist
Birth,United Kingdom,2004,Nicole Kidman,Female,doctor
Triangle,United Kingdom,2009,Melissa George,Female,shooter
Bend It Like Beckham,United Kingdom,2002,Parminder Nagra,Female,newspaper
The League of Extraordinary Gentlemen,United Kingdom,2003,Sean Connery,Male,hunter
Domino,United Kingdom,2005,Keira Knightley,Female,bounty hunter
The Man Who Cried,United Kingdom,2000,Christina Ricci,Female,officer
The Dark Knight Rises,United Kingdom,2012,Christian Bale,Male,commissioner
Harry Potter and the Deathly Hallows: Part 1,United Kingdom,2010,Bill Nighy,Male,minister
Prometheus,United Kingdom,2012,Noomi Rapace,Female,doctor
We Need to Talk About Kevin,United Kingdom,2011,Tilda Swinton,Female,writer
Immortals,United Kingdom,2011,Henry Cavill,Male,king
Tamara Drewe,United Kingdom,2010,Gemma Arterton,Female,journalist
Interstellar,United Kingdom,2014,Ellen Burstyn,Female,engineer
The Witch,United Kingdom,2015,Anya Taylor-Joy,Female,responsible
The Imitation Game,United Kingdom,2014,Benedict Cumberbatch,Male,mathematician
Nymphomaniac: Vol. I,United Kingdom,2013,Charlotte Gainsbourg,Female,bachelor
Mr. Holmes,United Kingdom,2015,Ian McKellen,Male,housekeeper
Man of Steel,United Kingdom,2013,Henry Cavill,Male,advisor
Fantastic Beasts and Where to Find Them,United Kingdom,2016,Eddie Redmayne,Male,potter
Darkest Hour,United Kingdom,2017,Gary Oldman,Male,leader
Annihilation,United Kingdom,2018,Natalie Portman,Female,professor
Wind River,United Kingdom,2017,Kelsey Asbille,Female,agent
Hotel Mumbai,United Kingdom,2018,Amandeep Singh,Male,guard
American Honey,United Kingdom,2016,Sasha Lane,Female,leader
Crimes of the Future,United Kingdom,2022,Léa Seydoux,Female,artist
Operation Mincemeat,United Kingdom,2021,Colin Firth,Male,lawyer
Triangle of Sadness,United Kingdom,2022,Harris Dickinson,Male,fashion model
Last Night in Soho,United Kingdom,2021,Thomasin McKenzie,Female,turner
The Lion King,United Kingdom,2019,Chiwetel Ejiofor,Male,king
Greenland,United Kingdom,2020,Gerard Butler,Male,engineer
Judy,United Kingdom,2019,Renée Zellweger,Female,performer
I Care a Lot,United Kingdom,2020,Rosamund Pike,Female,artist
Star Wars,United States,1977,Mark Hamill,Male,knight
The Sound of Music,United States,1965,Julie Andrews,Female,officer
Jaws,United States,1975,Roy Scheider,Male,hooper
Grease,United States,1978,John Travolta,Male,leader
Hombre,United States,1967,Paul Newman,Male,driver
2001: A Space Odyssey,United States,1968,Keir Dullea,Male,doctor
Psycho,United States,1960,Anthony Perkins,Male,proprietor
Willy Wonka & the Chocolate Factory,United States,1971,Gene Wilder,Male,tinker
Carrie,United States,1976,Sissy Spacek,Female,senior
Young Frankenstein,United States,1974,Gene Wilder,Male,doctor
Once Upon a Time in the West,United States,1968,Claudia Cardinale,Female,prostitute
The Warriors,United States,1979,Michael Beck,Male,leader
Deliverance,United States,1972,Jon Voight,Male,mountain man
Mary Poppins,United States,1964,Julie Andrews,Female,banker
Love Story,United States,1970,Ali MacGraw,Female,teacher
The Texas Chain Saw Massacre,United States,1974,Marilyn Burns,Female,driver
Soylent Green,United States,1973,Charlton Heston,Male,detective
El Dorado,United States,1966,John Wayne,Male,sheriff
Cleopatra,United States,1963,Elizabeth Taylor,Female,queen
The Outlaw Josey Wales,United States,1976,Clint Eastwood,Male,farmer
Promises in the Dark,United States,1979,Marsha Mason,Female,doctor
The Great Race,United States,1965,Jack Lemmon,Male,professor
"Hello, Dolly!",United States,1969,Barbra Streisand,Female,matchmaker
Blue Hawaii,United States,1961,Elvis Presley,Male,tour guide
Mahogany,United States,1975,Diana Ross,Female,designer
Guns of Diablo,United States,1964,Charles Bronson,Male,scout
Coma,United States,1978,Geneviève Bujold,Female,doctor
Colossus: The Forbin Project,United States,1970,Eric Braeden,Male,doctor
Girls! Girls! Girls!,United States,1962,Elvis Presley,Male,carpenter
Let's Make Love,United States,1960,Marilyn Monroe,Female,actor
X: The Man with the X-Ray Eyes,United States,1963,Ray Milland,Male,doctor
Marlowe,United States,1969,James Garner,Male,detective
This Property Is Condemned,United States,1966,Natalie Wood,Female,official
Back to the Future,United States,1985,Michael J. Fox,Male,scientist
Saving Private Ryan,United States,1998,Tom Hanks,Male,miller
Se7en,United States,1995,Morgan Freeman,Male,detective
Schindler's List,United States,1993,Liam Neeson,Male,industrialist
Indiana Jones and the Raiders of the Lost Ark,United States,1981,Harrison Ford,Male,archaeologist
Star Wars: Episode V - The Empire Strikes Back,United States,1980,Mark Hamill,Male,hunter
Aliens,United States,1986,Sigourney Weaver,Female,officer
Twister,United States,1996,Helen Hunt,Female,doctor
"Girl, Interrupted",United States,1999,Winona Ryder,Female,writer
Clueless,United States,1995,Alicia Silverstone,Female,matchmaker
Dead Poets Society,United States,1989,Robin Williams,Male,teacher
Police Academy,United States,1984,Steve Guttenberg,Male,cadet
Toy Story 2,United States,1999,Tom Hanks,Male,collector
Fargo,United States,1996,William H. Macy,Male,salesman
Sixteen Candles,United States,1984,Molly Ringwald,Female,baker
The Mask,United States,1994,Jim Carrey,Male,clerk
Batman & Robin,United States,1997,Arnold Schwarzenegger,Male,doctor
Batman Returns,United States,1992,Michael Keaton,Male,employee
Hard to Kill,United States,1990,Steven Seagal,Male,detective
The Untouchables,United States,1987,Kevin Costner,Male,agent
Adventures in Babysitting,United States,1987,Elisabeth Shue,Female,sitter
The Doors,United States,1991,Val Kilmer,Male,composer
Gia,United States,1998,Angelina Jolie,Female,fashion model
The Land Before Time,United States,1988,Pat Hingle,Male,narrator
Twin Peaks: Fire Walk with Me,United States,1992,Sheryl Lee,Female,resident
Sleepaway Camp,United States,1983,Felissa Rose,Female,baker
My Best Friend's Wedding,United States,1997,Julia Roberts,Female,potter
Tarzan the Ape Man,United States,1981,Bo Derek,Female,porter
Sister Act 2: Back in the Habit,United States,1993,Whoopi Goldberg,Female,showgirl
American Psycho,United States,2000,Christian Bale,Male,executive
Casino Royale,United States,2006,Daniel Craig,Male,agent
The Devil Wears Prada,United States,2006,Meryl Streep,Female,assistant
Iron Man,United States,2008,Robert Downey Jr.,Male,engineer
The Fast and the Furious,United States,2001,Paul Walker,Male,officer
Knowing,United States,2009,Nicolas Cage,Male,professor
Untraceable,United States,2008,Diane Lane,Female,agent
Spider-Man 2,United States,2004,Tobey Maguire,Male,doctor
Coyote Ugly,United States,2000,Piper Perabo,Female,songwriter
The Princess Diaries,United States,2001,Julie Andrews,Female,queen
Waiting...,United States,2005,Ryan Reynolds,Male,restaurant
Live Free or Die Hard,United States,2007,Bruce Willis,Male,master
Monster,United States,2003,Charlize Theron,Female,prostitute
Gangs of New York,United States,2002,Leonardo DiCaprio,Male,butcher
The Room,United States,2003,Tommy Wiseau,Male,executive
Just Like Heaven,United States,2005,Reese Witherspoon,Female,doctor
Frida,United States,2002,Salma Hayek,Female,artist
The Young Victoria,United States,2009,Emily Blunt,Female,queen
Jersey Girl,United States,2004,Betty Aberlin,Female,teacher
"Crazy, Stupid, Love.",United States,2011,Steve Carell,Male,weaver
Black Swan,United States,2010,Natalie Portman,Female,queen
Prometheus,United States,2012,Noomi Rapace,Female,doctor
The Fighter,United States,2010,Mark Wahlberg,Male,boxer
Silver Linings Playbook,United States,2012,Bradley Cooper,Male,teacher
One Day,United States,2011,Anne Hathaway,Female,writer
The Danish Girl,United States,2015,Alicia Vikander,Female,pioneer
Frozen,United States,2013,Kristen Bell,Female,mountain man
Iron Man 3,United States,2013,Robert Downey Jr.,Male,mandarin
American Sniper,United States,2014,Bradley Cooper,Male,sniper
Magic Mike XXL,United States,2015,Channing Tatum,Male,stripper
Lucy,United States,2014,Scarlett Johansson,Female,miller
Baywatch,United States,2017,Dwayne Johnson,Male,lifeguard
Deadpool 2,United States,2018,Ryan Reynolds,Male,mercenary
Arrival,United States,2016,Amy Adams,Female,doctor
Wonder Woman,United States,2017,Gal Gadot,Female,warrior
Ghostbusters,United States,2016,Zach Woods,Male,tour guide
Red Sparrow,United States,2018,Jennifer Lawrence,Female,ballerina
Lightyear,United States,2022,Chris Evans,Male,ranger
The Lost City,United States,2022,Sandra Bullock,Female,sage
Don't Look Up,United States,2021,Leonardo DiCaprio,Male,doctor
The Irishman,United States,2019,Robert De Niro,Male,hitman
Respect,United States,2021,Jennifer Hudson,Female,career
Soul,United States,2020,Jamie Foxx,Male,gardner
Long Shot,United States,2019,Charlize Theron,Female,journalist
Trolls 2: World Tour,United States,2020,Anna Kendrick,Female,queen
